Obj_fct_value;snw_dth;snw_ast;snw_amt;snw_amf;snw_pmf;sl0_mse;sl1_mse;sl0_fcy;sl0_bt0;sl1_pwp;sl1_fcy;sl1_bt0;urr_dth;lrr_dth;urr_rsr;urr_tdh;urr_tdr;urr_cst;urr_dro;urr_ulc;lrr_tdh;lrr_cst;lrr_dro;x
0.45852110290580583;0.0;-9999.0;-9999.0;0.0;0.0;6.043.239.942.949.220;8.550.079.634.443.250;8.984.673.480.266.650;17.288.738.487.431.600;172.204.879.424.648;4.526.735.941.566.920;13.045.503.019.732.200;366.312.922.350.975;29.927.306.139.666.500;0.4872287425318572;5.015.598.841.696.990;0.4553683394280632;0.0018514253040338713;0.40414696951131396;0.06261670587680868;1.849.146.769.866.630;0.026376464392398047;0.9607670838039627;
0.45852110290580583;0.0;-9999.0;-9999.0;0.0;0.0;6.043.239.942.949.220;8.550.079.634.443.250;8.984.673.480.266.650;17.288.738.487.431.600;172.204.879.424.648;4.526.735.941.566.920;13.045.503.019.732.200;366.312.922.350.975;29.927.306.139.666.500;0.4872287425318572;5.015.598.841.696.990;0.4553683394280632;0.0018514253040338713;0.40414696951131396;0.06261670587680868;1.849.146.769.866.630;0.026376464392398047;0.9607670838039627;
0.45852110290580583;0.0;-9999.0;-9999.0;0.0;0.0;6.043.239.942.949.220;8.550.079.634.443.250;8.984.673.480.266.650;17.288.738.487.431.600;172.204.879.424.648;4.526.735.941.566.920;13.045.503.019.732.200;366.312.922.350.975;29.927.306.139.666.500;0.4872287425318572;5.015.598.841.696.990;0.4553683394280632;0.0018514253040338713;0.40414696951131396;0.06261670587680868;1.849.146.769.866.630;0.026376464392398047;0.9607670838039627;
0.4573779285070966;0.0;-9999.0;-9999.0;0.0;0.0;4.489.761.767.029.930;15.347.099.301.923.500;1.431.541.509.671.540;21.567.755.210.184.400;2.653.325.461.967.700;7.985.006.863.137.720;0.27272449522233355;19.651.481.629.127.800;4.285.229.786.817.710;0.420875441813843;37.801.663.147.664.600;0.5779345641176069;0.006458428465390131;0.538074710256542;0.08788485885802555;7.601.185.346.667.970;0.022625299599463244;0.9757502100270036;
0.45539371048910726;0.0;-9999.0;-9999.0;0.0;0.0;580.559.757.382.692;9.540.262.191.421.130;15.526.731.749.679.700;1.785.810.585.003.880;13.813.505.662.552.900;41.716.128.045.769.600;0.21463285204588045;3.842.292.252.377.500;28.556.238.901.167.600;0.23817568261962135;5.143.482.859.984.800;0.26563822403481063;0.0007334389619667037;0.6808403989727798;0.14798338459668903;6.635.581.877.097.440;0.017045539110364605;0.9737116877574126;
0.45539371048910726;0.0;-9999.0;-9999.0;0.0;0.0;580.559.757.382.692;9.540.262.191.421.130;15.526.731.749.679.700;1.785.810.585.003.880;13.813.505.662.552.900;41.716.128.045.769.600;0.21463285204588045;3.842.292.252.377.500;28.556.238.901.167.600;0.23817568261962135;5.143.482.859.984.800;0.26563822403481063;0.0007334389619667037;0.6808403989727798;0.14798338459668903;6.635.581.877.097.440;0.017045539110364605;0.9737116877574126;
0.4471917912309167;0.0;-9999.0;-9999.0;0.0;0.0;6.533.793.130.679.250;29.426.018.866.225.300;147.157.162.954.322;238.362.126.666.006;13.907.620.909.507.900;5.271.649.369.967.990;23.656.518.244.585.700;36.138.593.718.718.400;18.670.575.847.432.400;0.24344826195421254;4.059.669.056.962.660;0.3320671528801996;0.0023503988572938783;0.7420035128043283;0.038802806057254224;6.250.329.671.328.870;0.03415042135870344;0.9627194792516962;
0.4471917912309167;0.0;-9999.0;-9999.0;0.0;0.0;6.533.793.130.679.250;29.426.018.866.225.300;147.157.162.954.322;238.362.126.666.006;13.907.620.909.507.900;5.271.649.369.967.990;23.656.518.244.585.700;36.138.593.718.718.400;18.670.575.847.432.400;0.24344826195421254;4.059.669.056.962.660;0.3320671528801996;0.0023503988572938783;0.7420035128043283;0.038802806057254224;6.250.329.671.328.870;0.03415042135870344;0.9627194792516962;
0.4471917912309167;0.0;-9999.0;-9999.0;0.0;0.0;6.533.793.130.679.250;29.426.018.866.225.300;147.157.162.954.322;238.362.126.666.006;13.907.620.909.507.900;5.271.649.369.967.990;23.656.518.244.585.700;36.138.593.718.718.400;18.670.575.847.432.400;0.24344826195421254;4.059.669.056.962.660;0.3320671528801996;0.0023503988572938783;0.7420035128043283;0.038802806057254224;6.250.329.671.328.870;0.03415042135870344;0.9627194792516962;
0.4471917912309167;0.0;-9999.0;-9999.0;0.0;0.0;6.533.793.130.679.250;29.426.018.866.225.300;147.157.162.954.322;238.362.126.666.006;13.907.620.909.507.900;5.271.649.369.967.990;23.656.518.244.585.700;36.138.593.718.718.400;18.670.575.847.432.400;0.24344826195421254;4.059.669.056.962.660;0.3320671528801996;0.0023503988572938783;0.7420035128043283;0.038802806057254224;6.250.329.671.328.870;0.03415042135870344;0.9627194792516962;
